Aggiudicatari;Importi;Categorie
574;1500;34
20;11573;14
52;235;17
235;24334;27
575;47680;42
317;602;1
576;1834;4
577;532194;8
525;37791;21
412;48505;39
318;299;4
578;5944;30
503;81738;31
166;89300;24
533;98900;31
157;37867;17
158;19240;39
179;15000;45
418;549;39
102;13350;47
249;610;30
147;666;6
448;1500;13
254;120000;46
100;6558;26
579;6000;48
318;4484;48
396;3034;24
324;5573770;13
416;5000;32
379;2575;18
580;425359;1
100;3968;23
21;1140;31
151;39800;39
246;5150;24
416;120000;19
581;2230;35
582;425400;40
583;2293;10
147;1286;6
584;5800;18
100;13100;23
511;3500;44
585;5460;9
65;500;21
29;3330;32
52;5537;43
423;8800;31
586;1250;12
513;27405;28
89;7279;32
92;2953;20
20;2496;35
20;236;15
587;176;17
588;9148;5
558;38700;24
537;476;6
233;1698;5
354;42822;37
589;22752;42
589;271;35
480;644;4
590;127896;46
575;18724;20
395;3975;38
591;98000;2
52;176040;33
145;12375;24
52;8742;12
448;1646;16
379;5000;12
592;38282;20
151;290;6
593;9500;9
594;5227;40
151;9350;9
100;568;39
595;37832;16
596;1600;37
139;15735;13
100;1000;13
148;4000;27
457;900;33
589;1840;36
45;1142;13
513;400;7
139;3050;42
567;19756;16
147;805;25
511;1800;20
100;1320;5
465;3000;48
589;1575;33
102;1152;16
20;1647;22
92;184;23
150;17800;7
139;2080434;3
62;854;29
558;996;40
597;1476;42
153;1453;37
598;857;18
599;30793;13
509;40612;12
600;68028;47
601;79514;9
567;82486;36
20;805;2
602;184;11
580;10000;17
603;138360;18
124;10065;37
65;10899;23
136;442;10
151;2954;35
418;4098;9
293;2912;14
567;10545;32
29;660;26
560;17188;7
20;1455;1
445;499;22
385;3500;2
62;5280;20
278;991;27
562;1380;24
195;535;28
62;360;1
604;1923;38
136;2523;28
160;2954;16
139;26188;25
344;1000;22
605;7321;46
402;8666;16
606;24500;14
62;557;7
62;360;15
291;792;21
538;42173;3
408;48553;1
102;5067;5
347;1525;37
607;8262;46
136;3898;8
393;1967;34
147;9000;1
139;199995;2
30;1250;33
158;2300;42
392;1200;14
393;4100;8
567;1800;24
543;480;15
384;106119;10
246;9947;23
608;3571;30
609;2880;46
609;113400;29
202;25000;36
235;200000;1
479;36000;2
225;25000;43
240;8511;2
240;136600;45
190;6666;28
190;10000;24
213;40400;45
213;200000;24
218;150000;9
219;30000;32
236;39999;40
475;70000;34
196;60000;1
76;13000;9
133;195089;13
246;20560;21
65;170272;13
610;232196;7
190;10400;7
191;60000;44
118;132500;34
474;2950;14
65;50000;33
577;150000;1
237;80000;2
354;200000;29
226;150000;3
226;90000;44
233;160000;31
233;172800;2
577;80000;8
278;30000;34
159;12525;14
159;36632;43
153;200000;31
198;10000;10
604;213000;48
30;975;22
499;4390;46
611;21058;43
497;67925;30
499;42835;32
236;21056;38
159;223530;39
216;34380;31
65;24907;22
65;39520;14
65;39520;6
242;20800;24
214;25708;23
215;14666;46
612;53798;30
190;26000;34
210;22880;27
159;35000;33
207;38000;43
209;36920;26
348;26000;22
212;37440;15
472;7280;13
613;10000;7
614;10000;38
466;10000;1
466;6271;44
615;38600;8
243;5921;29
394;145000;33
64;24059;40
234;9368;42
231;15100;22
616;8058;30
468;5000;30
617;5000;31
246;10000;38
197;90000;29
195;23000;28
193;70000;44
226;30000;36
194;18000;21
179;110000;2
139;5593;11
30;1200;43
589;3128;13
158;1511;37
364;950;14
410;3000;19
346;1610;37
412;28552;43
30;212;27
139;1960;9
49;1200;16
473;1960;41
618;1658;21
414;332080;11
384;876;12
30;3975;15
139;1625;25
416;950;3
17;2000;23
239;9570;41
139;35000;29
139;2000;44
103;950;24
30;1549;46
567;6780;7
425;811;35
261;41576;37
421;25000;37
422;9900;15
426;15918750;18
430;6500;24
17;332;22
391;1370;29
108;161843;22
440;30000;11
442;1482580;32
443;19000;11
257;315718;5
446;8000;33
136;406070;15
426;1477;32
447;2000;35
448;516;45
452;12000;22
153;4745;32
52;18610;17
407;1681;46
381;750;31
136;394230;43
455;1967;5
27;21420;11
414;9690;11
442;813;16
165;11160;48
462;631047;19
347;2991;6
275;8361;18
275;6475;26
275;144094;10
464;32812;10
134;1800;14
65;18916;10
361;132500;40
153;35000;41
472;883228;2
213;3261014;38
237;98000;13
190;141000;21
212;2000;19
227;7280;17
29;194983;5
268;144541;39
267;177184;47
119;170472;18
487;74321;2
61;1809;28
79;678312;47
488;39734;23
489;39734;23
257;10862;38
164;5000;25
47;59342;21
417;2704;40
143;5750;20
136;1998;20
67;5901;7
291;84000;3
151;26400;41
132;9500;36
133;16500;7
136;18500;46
136;1477;5
27;1967;42
417;15600;37
301;444000;6
305;2469753;8
417;342727;25
525;1175731;24
315;6386;5
492;10000;36
136;831;17
136;3934;28
264;1477;8
43;3000;7
387;9917;1
498;74385;22
136;20196;14
36;1967;36
503;6452513;29
329;107172;27
411;930504;33
188;30000;41
377;37122;14
75;48449;20
66;9800;4
30;31720;9
346;2049;36
132;49281;4
96;156227;9
16;86109;48
83;9383;42
352;151056;23
79;180756;13
348;190602;19
358;299239;23
133;143952;21
82;150241;20
98;149213;22
100;159000;23
47;5200;15
246;8500;24
105;24793;37
106;85000;10
113;433289;5
116;7200;41
117;9943;45
119;47500;38
120;5083;12
125;9100;24
47;9000;38
61;2890;4
35;55450;47
5;87865;20
78;8265;6
8;26808;22
105;88800;10
65;100000;5
119;174600;27
146;7062;14
152;12000;6
153;505075;28
154;709683;2
85;34000;6
510;902347;44
120;8264;38
78;10500;15
52;5000;16
100;29950;4
120;3072;27
166;3075;35
148;296700;42
78;9000;45
120;10000;1
119;6150;14
99;29420;39
134;19900;10
78;17550;20
241;25000;10
619;9500;11
159;1960;17
521;2353179;12
620;1364512;4
621;1364512;4
622;103902;48
623;6900000;25
624;6900000;25
625;6900000;25
626;19508;2
627;51563;6
35;25946;7
628;209;21
567;823;27
172;650;44
629;6120;32
275;521800;19
275;62250;48
630;900;21
631;25532;28
632;200000;28
633;200000;25
634;89099;24
635;88600;1
636;1000000;16
637;1000000;36
638;1000000;19
639;12800;18
384;9473;8
640;330;4
641;270;47
393;4196;17
172;980;17
642;31914;42
55;4455;18
56;3900;30
643;39000;33
425;63470;32
644;67367;48
114;5320;8
645;10106;24
646;9663;3
647;10106;4
648;3853;22
426;31165;13
263;224787;7
649;553200;32
123;1703935;42
650;5465;7
141;25125;27
129;32611;17
524;15713;33
526;119885;35
74;34871;43
30;363;31
30;114;37
31;21347;20
32;5500;4
33;5736;43
34;62535;16
45;11190;35
4;21854;27
49;14405;34
53;8197;3
19;3000;15
58;7320;48
59;3497;12
60;1639;33
58;10;12
651;5400;37
652;37494;46
434;30108;39
145;31899;8
418;4650;36
653;5400;6
654;37059;11
411;3507;48
527;120540;39
331;63862;17
395;70000;2
528;24516;15
75;4121;14
326;2185;1
54;1492;30
52;18150;24
45;7041;37
98;120000;36
250;20000;19
242;744;16
249;200;47
50;5317;33
382;24456;33
536;9000;7
655;39799;39
656;1640;33
657;51212;7
428;18125;30
124;12485;11
460;9040;22
416;1900;12
658;27782;15
379;14640;9
659;37494;27
660;1400;13
246;9726;34
383;17350;23
264;2455;19
661;5911;45
257;8803;12
145;43715;10
386;70541;6
368;2500;12
367;264480;18
145;26378;45
104;515184;37
24;505961;9
141;56061;6
129;34223;22
380;7700000;30
379;140340;14
171;72153;6
50;1121;19
539;151000;10
540;123252;31
518;5000;46
515;46625;27
54;2490;46
389;2665;27
662;6480;41
663;6480;11
664;6480;9
665;4680;6
666;4680;31
667;405;38
668;1516;22
27;15600;38
71;9900;48
115;20964;31
50;97405;25
161;2890;29
377;8120;15
669;34609;11
37;40983;20
378;27276;48
70;110000;27
377;16636;17
376;121752;41
54;9999;34
670;16393;25
375;3280;25
315;5000;42
387;124652;34
151;3000;7
384;4200;5
250;15456;15
390;15840;35
315;3850;27
460;16000;14
519;1000;21
522;53157;37
427;28520;7
671;707;22
408;1892;28
672;45044;36
673;25000;12
145;4105;9
400;27000;3
378;3025;24
107;10950;22
674;16248;35
145;6553;9
92;1744;47
29;40826;30
20;264;33
65;176;47
20;96;12
395;66990;42
20;176;18
20;528;18
524;92919;1
661;4098;41
675;34559;26
519;2000;17
676;1865;24
677;820;9
605;20000;23
678;2245;20
679;1845;5
680;810;46
145;6556;36
64;26000;44
64;4685;5
75;3740;44
681;1600;36
396;4816640;4
682;163869;22
316;4687;19
326;1280;12
30;8059;12
397;68852;17
67;160678;10
67;234899;16
399;3000;22
400;19500;14
401;859;23
541;7570;42
535;30202;39
384;50047;6
388;32096;45
378;22542;6
538;407898;17
94;323902;21
4;371596;28
683;110000;17
684;4000;44
685;23400;32
511;1460;7
512;8745;24
513;5787;46
513;5821;27
519;272;38
537;3300;40
668;980;9
686;48042;31
45;3262;17
251;3100;10
516;3278;3
442;19689;26
516;4098;21
89;8196;12
382;5498;35
378;8250;15
257;16393;23
145;3204;1
530;387;12
382;13175;46
136;987;15
136;1477;25
136;1477;34
136;987;17
136;1967;8
139;950;29
139;950;2
139;750;11
139;750;12
139;950;36
139;950;13
92;4606;13
50;161963;23
50;145658;23
532;31968;39
670;15800;20
423;800;20
534;390;48
444;19852;39
179;8981;27
139;900;30
567;555;27
567;825;40
567;825;38
65;80569;10
567;675;35
567;405;29
577;80000;43
511;303;39
567;725;26
687;250;23
45;800;43
92;5706;40
151;4098;2
370;539;2
37;9989;5
377;2570;28
244;6800;12
273;31500;35
52;36500;23
96;8000;39
89;3785;2
271;14950;37
272;3240;17
161;1640;46
73;152;44
271;4100;14
4;15409;27
382;91200;33
268;623585;7
267;627449;20
45;8900;7
69;32043;47
266;5731;9
70;650;3
70;300;20
75;8200;27
100;7490;29
369;12506;37
87;24484;14
89;9900;9
374;230009;47
141;22920;42
189;37396;3
657;10678;29
688;737;15
1;10871;16
259;19000;39
325;2459;11
373;2500;19
316;3394;5
525;1850;9
29;31877;9
371;6519;7
361;136427;8
407;104085;34
406;261534;17
49;1620;38
405;110811;32
404;15025;16
382;10902;21
76;14390;19
138;342;28
101;990;42
147;4800;48
511;6000;36
511;1800;47
251;3000;27
100;978;36
251;3000;48
511;51500;15
689;91675;13
690;154449;45
690;51357;28
690;514750;34
147;1545;22
52;8800;24
62;627;16
100;19800;43
324;5000;4
691;748;24
147;575;6
692;2715;1
511;203000;16
511;6500;41
693;11200;10
251;3000;32
694;7200;19
100;3954;13
402;4857;32
382;15652;33
382;59077;11
248;105861;3
16;18784;1
18;19470;2
19;6180;2
246;1454;14
246;9450;31
28;39438;15
255;2581;46
256;2800;40
253;2500;34
258;51768;11
260;4953;32
261;252898;5
257;6967;13
263;38303;4
695;52459;23
264;746177;18
262;3000;16
100;5711;4
511;500;9
100;5374;9
50;1705;32
100;30540;1
270;6240;44
417;2300000;1
100;4741;27
265;713;5
257;9400;33
246;11417;34
252;39500;27
251;7246;25
398;3200;44
92;2959;17
93;23609;8
54;8264;41
54;4985;1
95;9902;41
65;19548;14
1;4430;33
244;18781;41
270;7500;26
520;2598;4
89;3750;38
543;4500;12
696;16406;38
23;1128;36
344;6081;19
62;985;37
416;2600;39
492;5819;7
1;1947;40
697;5693;43
558;9600;4
416;14640;1
416;7810;17
103;815;6
392;7733;40
318;15439;2
9;5355;5
421;9900;6
698;1725;35
699;7270;17
326;719;3
90;350;18
700;900;10
701;1898;22
702;86553;21
703;1400;20
107;1100;12
20;510;4
43;2300;11
704;950;48
705;6936;14
318;15101;37
706;3690;40
707;660;36
708;772;8
129;11389;39
603;990;29
257;8187;29
709;24000;48
674;39724;31
318;12665;23
710;1400;34
711;31975;36
387;31950;16
670;536;33
712;1660;12
411;14412;33
682;3813;10
89;4898;18
683;1100;48
516;3800;9
318;14820;9
151;4050;16
713;54340;26
714;140000;29
715;130594;21
684;39812;38
145;201450;20
716;400;1
157;19790;10
704;980;4
572;11500;6
270;6240;27
473;3134;23
318;12163;27
66;4350;47
27;6240;48
318;1543;19
717;3762;3
318;15610;9
718;4000;2
719;2460;25
70;1200;10
261;8196;6
717;6500;10
54;9800;45
378;293;25
249;630;33
254;600;21
389;844;45
412;2713;44
136;707;40
318;6071;34
1;3100;27
416;500;15
318;11885;39
332;4800;36
158;39000;36
720;6480;9
721;6480;9
722;6480;44
723;32299;32
65;29600;10
724;781;34
725;33941;44
145;9139;45
70;140000;18
726;12000;4
457;975;36
525;12612;46
318;13212;32
559;7493;21
9;11294;1
62;2945;27
725;9264;5
727;2282;28
83;1500;37
728;105120;21
729;83658;15
318;13558;43
559;1624;24
151;7870;22
730;6362;20
485;1650;37
246;8000;13
731;10100;8
732;243162;25
170;1199;38
435;709;12
318;14853;24
378;980;11
427;800;15
488;4000;9
733;4000;9
416;800;41
532;532;47
475;34710;10
233;8883;37
52;35448;32
734;10000;27
89;6475;33
318;13805;7
735;10372;14
411;10990;5
55;2950;4
423;800;32
138;348;18
318;15920;43
318;4385;4
246;27818;25
736;24000;29
706;9950;37
318;12923;16
52;3390;41
529;720396;48
172;1195;33
567;1355;12
105;14831;15
108;11895;30
737;24128;13
738;24128;13
739;24128;13
740;20122;43
741;12186;41
318;15370;36
567;491;24
189;39669;28
145;60713;4
742;1100;12
378;910;17
445;2600;7
533;23301;40
421;3000;44
416;3100;43
116;8365;3
384;23000;39
115;7282;12
458;5925;14
115;7587;29
318;17700;30
742;500;1
743;8192;40
392;11993;37
542;2929;5
17;1195;26
102;793;2
744;3200;38
543;4500;29
745;3330;34
466;72395;5
203;58400;39
190;51520;22
194;107000;26
746;20000;29
474;150000;26
190;40400;3
221;10000;41
468;4500;1
195;82000;33
215;55000;10
196;18000;36
747;1600;42
226;58437;4
748;400102;43
133;10000;3
193;58437;42
484;39000;15
568;130000;3
204;40000;42
411;968;27
159;39520;27
686;1335307;36
360;31385;3
686;170272;32
237;89610;34
64;4685;1
568;83044;41
749;2134;7
212;164283;28
506;910455;39
215;36775;6
226;19418;22
237;222477;12
577;222477;22
750;950;20
190;60000;14
225;8511;5
46;79755;16
686;172436;34
751;3920;39
752;55700;7
753;25245;18
508;10920;35
159;6000;28
754;3500;26
755;31960;42
756;8000;5
757;10000;43
758;14000;2
348;37440;44
568;10000;36
209;26000;20
759;8540;37
198;70000;40
226;160000;31
198;70000;36
207;36920;14
750;10000;16
760;14900;20
193;33000;33
226;90000;14
759;29000;16
134;18916;44
216;30000;30
237;135000;8
65;130000;45
226;12391;47
75;10000;26
761;9360;16
762;7300;34
763;10000;15
354;100000;43
193;147168;6
197;32000;18
210;35000;37
214;1466;30
228;72395;12
212;7280;28
159;25000;9
159;36632;8
190;22880;31
686;38000;6
65;20800;6
764;12000;46
65;10000;6
219;69260;31
65;39520;48
65;39520;29
612;14182;28
234;20000;41
765;24516;32
568;70000;39
213;250000;25
766;21750;21
226;16173;36
193;235468;36
159;200000;29
237;200000;14
767;8000;42
477;8198;25
239;16275;45
568;35000;13
768;150000;38
769;10000;46
747;6637;37
568;40000;29
235;20857;28
213;150000;33
236;70000;42
65;150000;47
233;172800;7
615;6000;25
202;200000;34
198;213000;42
591;1084050;43
231;8500;25
236;31479;20
235;36000;10
218;30000;18
466;72395;24
770;1346850;43
771;15000;8
226;16000;47
159;26000;33
264;2455;9
686;114666;12
198;123443;9
772;2172;3
773;46811;29
509;63181;48
774;2100;28
775;91390;24
501;98550;1
159;15640;21
577;135232;14
776;46920;38
777;2275;32
568;131071;11
65;36135;12
686;197624;2
226;82341;18
359;20000;39
480;228372;38
233;62415;28
778;136652;45
779;75240;36
780;114400;15
781;67189;2
687;3278;34
577;57000;39
472;64600;39
243;163000;10
782;105108;21
466;52500;3
506;61721;43
616;5000;36
783;720;10
361;35000;48
497;24587;43
544;1570;39
445;1800;13
410;1472;4
92;6537;46
17;5746;46
549;2207;9
54;819;26
69;35624;46
514;28750;44
65;2997;32
557;2840;43
132;197200;48
661;199000;40
76;197000;2
133;197400;25
134;185000;2
83;198000;27
661;199000;34
695;199000;3
133;197400;27
172;650;20
158;9800;27
76;197000;48
107;500;11
525;17988;38
735;24964;43
136;3927;34
393;3581;28
523;35030;16
49;195;45
416;1500;19
682;126616;3
65;28276;3
172;650;30
65;16704;23
291;12854;45
784;3960;47
65;56430;44
567;1177;46
151;39000;14
291;462403;13
29;132893;37
364;9900;1
291;12342;17
568;9500;21
239;32210;23
291;116929;9
372;3660;2
567;1177;40
346;47349;44
145;15499;43
147;2700;23
387;175000;43
572;11500;14
159;27391;8
425;47179;1
52;24334;41
575;1000;21
503;89300;6
166;98900;5
65;15000;22
418;13350;34
448;120000;10
147;1500;30
100;6000;21
324;5000;40
379;425359;37
649;425400;25
52;8800;33
300;2990;11
589;271;35
575;3975;47
448;5000;40
54;2490;6
594;22959;48
100;37832;18
595;1600;10
596;439;1
148;900;14
511;1320;41
139;854;47
150;2080434;10
62;996;34
509;239685;36
62;1923;16
604;2523;15
160;26188;3
402;24500;1
62;360;48
538;48553;21
65;42173;27
347;8262;20
346;28552;4
49;1960;24
103;1549;36
422;15918750;47
108;30000;31
440;0;30
257;8000;41
446;406070;10
381;394230;28
27;9690;44
462;2991;48
275;144094;9
275;32812;33
275;6475;19
464;5037;3
148;1800;40
267;170472;43
268;177184;19
119;74321;27
487;1809;2
61;678312;48
695;181072;37
257;5000;14
47;2704;46
417;5750;35
143;1998;19
67;84000;8
291;26400;41
151;9500;30
133;18500;12
132;16500;4
27;15600;31
417;444000;46
301;2469753;2
305;16452;2
67;342727;31
417;1175731;32
525;6386;1
315;10000;34
492;831;37
264;3000;36
43;9917;4
517;7630;33
387;74385;37
498;20196;1
36;6452513;39
329;930504;38
503;107172;7
411;30000;16
188;37122;36
377;48449;33
75;9800;33
66;31720;2
30;2049;7
346;49281;37
96;86109;35
16;9383;28
352;5449;37
98;159000;8
100;15118;11
246;5200;21
105;24793;46
106;85000;11
113;433289;11
116;7200;45
117;9943;17
119;47500;43
120;5083;43
125;9100;46
61;9000;16
35;55450;26
5;87865;40
78;8265;40
8;26808;3
105;88800;24
119;100000;21
146;7062;46
152;12000;40
510;505075;6
154;8264;33
85;34000;15
120;902347;18
78;10500;37
52;5000;29
100;29950;7
120;3072;1
148;3075;23
78;9000;10
120;10000;27
119;6150;16
99;29420;16
134;19900;38
78;17550;40
241;25000;31
785;1897;40
786;139968;9
558;1568;18
364;9900;39
787;956;15
102;950;22
460;19016;19
788;1190;30
789;1965;1
790;2992;24
102;700;27
101;148594;31
791;347869;29
139;800;46
511;6000;29
270;6240;37
788;3809;9
324;5000;30
792;672;9
83;180030;4
136;2947;44
569;1138;12
377;20590;32
792;1076;2
134;186422;46
139;850;24
375;4450;32
793;4700;43
136;847;17
54;9800;24
100;500;37
794;988;46
790;1016;31
139;1250;10
605;16393;48
172;80;44
567;955;46
145;2289;18
136;1477;45
795;1705;47
796;466518;1
132;137232;29
102;1000;5
379;14176;45
797;1967;39
798;4;15
799;1902;16
589;835;43
567;1795;32
567;600;10
384;23000;36
641;1500;9
392;1813;22
800;603;19
724;6000;41
687;400;22
567;805;38
792;950;24
46;85215;1
562;1490;45
379;7790;1
567;701;22
801;515;35
802;1405;38
172;450;12
64;4685;36
675;151873;30
803;1560;2
626;19508;23
567;823;44
172;650;6
630;900;16
631;25532;15
632;200000;32
633;200000;2
639;12800;28
640;330;7
641;270;1
393;4196;45
172;980;17
642;31914;13
55;4455;18
56;3900;19
643;39000;37
425;63470;46
644;67367;31
123;1703935;16
650;5465;1
141;25125;46
129;32611;42
524;15713;21
526;119885;21
74;34871;25
30;363;46
30;114;44
31;21347;12
34;62535;15
45;11190;16
4;21854;11
49;14405;24
53;8197;22
58;7320;46
59;3497;40
60;1639;32
58;10;42
652;37494;29
434;30108;29
145;31899;24
654;37059;13
411;3507;47
527;120540;30
331;63862;15
395;70000;33
75;4121;18
326;2185;8
54;1492;46
52;18150;42
45;7041;42
98;120000;22
250;20000;24
242;744;4
249;200;1
50;5317;21
382;24456;33
536;9000;29
656;1640;2
460;9040;40
379;14640;35
659;37494;27
660;1400;2
246;9726;32
383;17350;14
264;2455;7
661;5911;37
257;8803;16
145;43715;29
386;70541;42
368;2500;21
367;264480;23
145;26378;39
104;515184;45
24;505961;37
141;56061;10
129;34223;6
380;7700000;8
379;140340;43
171;72153;7
50;1121;26
539;151000;2
518;5000;36
515;46625;32
54;2490;15
389;2665;29
50;97405;14
161;2890;22
377;8120;9
37;40983;9
378;27276;43
70;110000;25
377;16636;33
376;121752;30
54;9999;41
670;16393;25
375;3280;35
315;5000;20
387;124652;17
151;3000;35
384;4200;46
250;15456;4
390;15840;6
315;3850;34
460;16000;38
519;1000;38
522;53157;33
427;28520;31
672;45044;28
673;25000;33
145;4105;24
378;3025;22
145;6553;22
92;1744;10
29;40826;12
20;264;5
20;176;22
20;96;21
395;66990;39
20;176;20
20;528;46
661;4098;34
519;2000;38
676;1865;44
677;820;26
605;20000;25
678;2245;16
679;1845;42
680;810;7
145;6556;3
64;26000;15
64;4685;47
681;1600;37
396;4816640;19
316;4687;26
326;1280;35
30;8059;43
397;68852;47
65;160678;21
67;234899;23
399;3000;25
400;19500;29
401;545;45
541;7570;37
535;30202;22
384;50047;19
388;32096;18
378;22542;26
538;407898;19
94;323902;10
4;371596;33
132;197200;46
83;198000;26
76;197000;19
100;41690;35
65;1460;14
512;8745;25
513;5787;1
513;5821;11
695;199000;9
519;272;28
537;3300;38
686;48042;3
45;3262;6
251;3100;10
516;3278;39
442;19689;36
516;4098;47
89;8196;27
382;5498;8
378;8250;32
257;16393;47
145;3204;38
530;387;23
382;13175;37
136;987;25
136;1477;32
136;1477;6
136;987;37
136;1967;28
139;950;39
139;950;5
139;750;38
139;750;36
139;950;13
139;950;47
92;4606;31
50;161963;35
50;145658;8
532;31968;6
670;15800;41
423;800;39
534;390;6
444;19852;23
179;8981;5
139;900;26
567;555;41
567;825;48
567;825;47
567;805;46
567;675;40
567;405;46
577;80000;18
511;303;39
567;725;20
687;250;1
45;800;38
92;5706;46
151;4098;47
370;539;24
37;9989;13
377;2570;28
244;6800;25
65;31500;34
52;36500;1
96;8000;13
89;3785;35
271;14950;18
272;3240;41
161;1640;26
73;152;35
271;4100;35
382;91200;10
268;623585;44
267;627449;22
45;8900;39
69;32043;45
266;5731;4
70;650;42
70;300;28
75;8200;48
100;7490;10
369;12506;23
87;24484;2
89;9900;22
374;230009;20
189;37396;33
259;19000;44
325;2459;9
373;2500;1
316;3394;3
525;1850;1
29;31877;44
371;6519;9
361;136427;18
407;104085;22
65;261534;16
49;1620;19
405;110811;34
404;15025;26
382;10902;36
76;14390;18
138;342;38
101;990;21
511;1800;23
251;3000;15
100;978;5
251;3000;2
511;51500;12
689;91675;22
690;154449;27
690;51357;37
690;514750;2
147;1545;18
52;8800;15
62;627;2
100;19800;30
691;748;5
147;575;30
692;2715;24
511;203000;44
511;6500;45
693;11200;3
251;3000;35
694;7200;19
100;3954;34
65;4857;5
382;15652;14
382;59077;38
248;105861;34
16;18784;17
18;19470;37
19;6180;40
246;1454;7
246;9450;19
28;39438;19
255;2581;17
256;2800;1
253;2500;21
258;51768;11
260;4953;23
261;252898;23
257;6967;13
263;38303;1
695;52459;13
264;746177;34
100;5711;28
511;500;39
100;5374;38
50;1705;1
100;30540;14
270;6240;24
417;2300000;31
100;4741;8
265;713;28
257;9400;21
246;11417;18
252;39500;44
251;7246;18
398;3200;36
92;2959;1
93;23609;18
54;8264;10
54;4985;37
95;9902;26
95;19548;15
1;4430;19
244;18781;27
270;7500;47
520;2598;29
89;3750;2
543;5000;27
804;30294;23
805;11300;46
83;5000;48
706;17480;35
136;3927;42
74;91464;39
136;1477;7
20;176;14
806;27783;16
164;1335525;11
384;450;32
792;479;31
807;1600;29
567;1880;30
808;280;38
20;176;6
172;490;47
300;3900;40
102;550;12
559;2502;5
45;300;34
136;1477;34
792;984;7
525;14466;45
809;19450;7
29;11500;13
418;10000;43
810;705;5
158;4580;21
567;2380;24
139;300;25
100;3500;41
811;120;4
102;1050;39
812;55250;5
130;6000;25
562;733;47
138;907;41
562;702;31
801;4750;45
137;664137;31
313;4918;15
147;4800;8
45;300;9
813;1910810;25
814;1910810;25
815;1910810;25
816;22983;2
800;759;29
141;14760;1
567;555;9
172;650;21
65;1350;25
544;1485;45
567;711;27
817;14524;18
589;687;35
129;44009;22
818;147943;8
384;9025;31
819;7370;46
136;1057;22
675;34559;37
257;12295;14
820;1546;1
139;400;33
821;198891;6
822;139968;11
823;1124;16
132;197245;22
824;46500;22
792;932;41
252;48000;45
299;2703;39
610;15000;7
631;34177;20
433;480937;18
792;459;15
825;112096;29
747;200;10
379;2012;22
133;198025;9
189;8121;15
83;197050;33
378;3779;4
567;962;33
567;568;44
138;1207;38
242;6682;27
826;37748;23
827;11288;18
828;915;3
567;605;32
92;559;46
829;77751;8
102;950;30
792;568;44
589;730;31
830;39929;46
742;3362;23
342;2610;43
633;39999;10
831;1980;3
107;10950;3
832;3600;10
797;15562;36
246;9401;27
263;224787;36
833;12750;5
442;15000;8
151;650;37
124;12445;15
834;12618;31
444;964;10
811;581;20
703;1500;39
393;1900;3
20;435;46
797;17076;42
378;750;43
657;18478;48
71;3800;4
632;39999;37
747;1625;36
548;584;8
797;13198;26
674;16248;35
533;22398;38
835;6545;45
115;11292;33
836;3190;12
434;8068;26
797;19604;10
837;2300000;9
702;103111;33
473;6281;23
695;2965;15
657;10217;43
797;17766;12
15;30000;12
393;2125;31
735;7744;28
151;2535;43
513;1562;16
416;8300;19
797;9134;31
407;950;21
638;1000000;43
637;1000000;20
636;1000000;39
145;9743;44
378;355;12
326;12396;8
189;18467;5
580;735;48
149;665;32
797;17200;30
838;1639;26
342;2730;24
